iter	MultiClass
0	1.535267112
1	1.480319179
2	1.431575702
3	1.393105708
4	1.354776224
5	1.317686518
6	1.287005388
7	1.260015092
8	1.233091874
9	1.207917641
10	1.184529441
11	1.163854835
12	1.145652425
13	1.126973807
14	1.110519799
15	1.095027028
16	1.079326346
17	1.064354047
18	1.051697133
19	1.038157149
20	1.026643295
21	1.016447095
22	1.004778708
23	0.9934657962
24	0.9834563218
25	0.9749607663
26	0.9652815773
27	0.9569872456
28	0.9484560662
29	0.9397389116
30	0.931591912
31	0.924535622
32	0.9174965284
33	0.910041346
34	0.9039569556
35	0.898200025
36	0.8917901394
37	0.886183994
38	0.879835309
39	0.8744434832
40	0.8687737989
41	0.8629137084
42	0.8582657917
43	0.8533483616
44	0.8483629671
45	0.8433309609
46	0.8390070201
47	0.8342830674
48	0.8297955622
49	0.8252758049
50	0.8214803574
51	0.8166293282
52	0.8126526335
53	0.8089893908
54	0.8050327924
55	0.8013135578
56	0.7974196393
57	0.7934796871
58	0.7900419843
59	0.7867983547
60	0.7835786071
61	0.7806302516
62	0.7772001638
63	0.7741868544
64	0.7713588827
65	0.7681975448
66	0.7657172131
67	0.7626961431
68	0.7597936422
69	0.7566347754
70	0.7540226967
71	0.7510703833
72	0.7478206479
73	0.7457851838
74	0.7431740707
75	0.7406505133
76	0.7379032379
77	0.7353732253
78	0.7327277511
79	0.7309600728
80	0.7283947105
81	0.7260754098
82	0.7239931352
83	0.7216367655
84	0.7192223048
85	0.7169965115
86	0.7144520305
87	0.7124568054
88	0.7100203793
89	0.708227669
90	0.706069068
91	0.7044982547
92	0.7025686239
93	0.7008800056
94	0.6988753021
95	0.6972314112
96	0.6955587207
97	0.6936585462
98	0.6917528639
99	0.6902910983
100	0.6885543077
101	0.6865733952
102	0.6842422797
103	0.6820297872
104	0.6796743273
105	0.6779023873
106	0.6763862743
107	0.6743639107
108	0.6724035404
109	0.6709298705
110	0.6692585557
111	0.6675505002
112	0.6657301237
113	0.6639626346
114	0.6621502826
115	0.6602918439
116	0.6585878635
117	0.6572951645
118	0.6553370213
119	0.6541001108
120	0.652256742
121	0.6509137881
122	0.649141881
123	0.6472922714
124	0.6457562289
125	0.6443219188
126	0.6425449815
127	0.6406843465
128	0.6387965532
129	0.6374396208
130	0.6360062559
131	0.6347500725
132	0.6331690185
133	0.631827013
134	0.6304444117
135	0.6290875553
136	0.627655278
137	0.6258330609
138	0.6243339736
139	0.6228015426
140	0.6211193147
141	0.6199999459
142	0.6187212581
143	0.6172144965
144	0.616102958
145	0.6153024807
146	0.6139011692
147	0.6124637279
148	0.6111430961
149	0.6102759456
150	0.6088465417
151	0.6074772278
152	0.6061963222
153	0.6050018804
154	0.6035685261
155	0.6026100238
156	0.6013264518
157	0.5998931722
158	0.5986812643
159	0.5977915714
160	0.5963927983
161	0.5951901082
162	0.5937238156
163	0.5925371947
164	0.5917314582
165	0.5904955571
166	0.5896502277
167	0.5886817651
168	0.587667822
169	0.5866891636
170	0.5852930153
171	0.5844168192
172	0.5834731016
173	0.5824079957
174	0.5812349336
175	0.5800055456
176	0.5786995367
177	0.5777908459
178	0.5766647777
179	0.5758595549
180	0.5749119159
181	0.5741015541
182	0.5730976976
183	0.5721140269
184	0.5709593553
185	0.5697460954
186	0.5687123157
187	0.5677649263
188	0.5666308571
189	0.5658260518
190	0.5646280879
191	0.563655541
192	0.5628958541
193	0.5618179128
194	0.5611508
195	0.5600894773
196	0.5590551335
197	0.5580148993
198	0.5570505783
199	0.55609095
200	0.5553130974
201	0.5541804853
202	0.5532535422
203	0.5522880294
204	0.551263708
205	0.5503122917
206	0.5493466011
207	0.5482826163
208	0.5475010863
209	0.5465718762
210	0.5455833355
211	0.5444504162
212	0.5436248145
213	0.5426223441
214	0.5416667288
215	0.5409449555
216	0.540206641
217	0.5393052965
218	0.538225558
219	0.5377315091
220	0.5370561737
221	0.5362289781
222	0.5354287201
223	0.5346448902
224	0.5339168466
225	0.533250188
226	0.5325680196
227	0.531911357
228	0.5310469683
229	0.530362208
230	0.5295198679
231	0.5287419735
232	0.5279631828
233	0.5272363019
234	0.5266053364
235	0.5257287443
236	0.5250989549
237	0.5245215158
238	0.52374487
239	0.5228003989
240	0.5217500482
241	0.5210588964
242	0.5203992218
243	0.5195758715
244	0.5186283111
245	0.5179465821
246	0.5169860118
247	0.5166189412
248	0.51618835
249	0.5155914619
250	0.5151550663
251	0.5145258956
252	0.5137277067
253	0.5132282886
254	0.5124314483
255	0.511581554
256	0.5109696458
257	0.5103782207
258	0.509680496
259	0.5091873749
260	0.5083492203
261	0.5076704874
262	0.5069422056
263	0.5063516418
264	0.5056409653
265	0.5050144077
266	0.5046140329
267	0.5039707876
268	0.5033322483
269	0.5026302927
270	0.5019910335
271	0.5015772505
272	0.5008826892
273	0.4999974366
274	0.4994891178
275	0.4989451581
276	0.4983368229
277	0.4976468579
278	0.4971279598
279	0.4964053485
280	0.4959365541
281	0.4950447111
282	0.4943265995
283	0.4936517953
284	0.4930971657
285	0.4926792573
286	0.4920531461
287	0.4914554275
288	0.4909425456
289	0.4904773283
290	0.489809319
291	0.4890958841
292	0.4886515292
293	0.4880591556
294	0.4874006695
295	0.4867282628
296	0.4860787629
297	0.485375795
298	0.4848496803
299	0.4842722697
300	0.4837569096
301	0.4829912036
302	0.4822391102
303	0.48174636
304	0.4813664772
305	0.4803408973
306	0.4797399661
307	0.4791348325
308	0.4785231953
309	0.4779905214
310	0.4773346768
311	0.4768175669
312	0.4763021539
313	0.4754581134
314	0.47475902
315	0.4743851715
316	0.4735910983
317	0.4729987815
318	0.4725289354
319	0.4718373036
320	0.4710650085
321	0.4706373682
322	0.4701222999
323	0.4697015316
324	0.4691355406
325	0.4686673887
326	0.4680177773
327	0.4674732098
328	0.4671593768
329	0.4666144845
330	0.4660890404
331	0.4654082742
332	0.4648756026
333	0.4643024533
334	0.4639644742
335	0.4634155271
336	0.4627016951
337	0.4622557308
338	0.4614858783
339	0.4609302054
340	0.460357564
341	0.4599873514
342	0.4594052035
343	0.4589660218
344	0.4582526027
345	0.4578045718
346	0.4571866123
347	0.4564171113
348	0.4558824047
349	0.4551632408
350	0.4545384102
351	0.4535613941
352	0.4529310287
353	0.4523754139
354	0.4517656819
355	0.4512987539
356	0.4508998562
357	0.4505411897
358	0.4500770882
359	0.4492470374
360	0.4487501802
361	0.4482856256
362	0.447842901
363	0.4472693024
364	0.4467040522
365	0.4459969398
366	0.4455274886
367	0.4448418041
368	0.4442661066
369	0.4438951048
370	0.4433903501
371	0.4428324588
372	0.4421722931
373	0.4415939965
374	0.4407358817
375	0.4401664618
376	0.4397819685
377	0.4394049034
378	0.4390525575
379	0.4385026781
380	0.4380397521
381	0.4375337737
382	0.4370467967
383	0.4365522494
384	0.4360733728
385	0.435750354
386	0.4353202052
387	0.4348460854
388	0.4344142202
389	0.4338023033
390	0.433413468
391	0.432840009
392	0.4325719887
393	0.4320088087
394	0.4316531823
395	0.4310975765
396	0.4306759285
397	0.4302018462
398	0.429903735
399	0.4296188727
400	0.4291620306
401	0.4287143722
402	0.4283475492
403	0.4280079862
404	0.4275302057
405	0.4271689163
406	0.4268442711
407	0.4262801369
408	0.4256724723
409	0.4251654972
410	0.4247604091
411	0.4242273131
412	0.4238339235
413	0.4231711953
414	0.4227857363
415	0.4224391545
416	0.422276457
417	0.4218423175
418	0.4213166425
419	0.421100018
420	0.4208725135
421	0.4206291843
422	0.4202075774
423	0.4197848062
424	0.4193844883
425	0.418821162
426	0.418458771
427	0.4178716825
428	0.4175377245
429	0.4170545157
430	0.4165842264
431	0.4161237708
432	0.4156195484
433	0.4151844873
434	0.4147208242
435	0.4143173031
436	0.4137916482
437	0.41344298
438	0.4129301801
439	0.4121908422
440	0.4119843254
441	0.4115776831
442	0.4113094321
443	0.4109019956
444	0.4104893786
445	0.4101486263
446	0.4096482559
447	0.4093040095
448	0.4089272041
449	0.4085013834
450	0.4080419184
451	0.4075326666
452	0.4070136071
453	0.4066747899
454	0.4062578458
455	0.4059101201
456	0.4055555176
457	0.4050874771
458	0.404824037
459	0.4043614111
460	0.4039649324
461	0.4034541565
462	0.4029775027
463	0.4025829881
464	0.4024401854
465	0.4019237892
466	0.4014952456
467	0.4012322024
