iter	Passed	Remaining
0	148	148241
1	263	131344
2	372	123706
3	487	121359
4	593	118060
5	701	116224
6	803	113988
7	920	114125
8	1045	115152
9	1155	114438
10	1267	113997
11	1384	113973
12	1494	113442
13	1611	113486
14	1734	113881
15	1853	113961
16	1968	113821
17	2078	113383
18	2194	113291
19	2310	113230
20	2430	113293
21	2551	113442
22	2661	113046
23	2785	113279
24	2890	112713
25	3013	112872
26	3117	112357
27	3233	112242
28	3342	111899
29	3453	111663
30	3577	111830
31	3697	111856
32	3815	111812
33	3919	111348
34	4021	110868
35	4125	110461
36	4243	110435
37	4354	110246
38	4480	110392
39	4598	110373
40	4716	110311
41	4833	110244
42	4940	109954
43	5059	109928
44	5176	109867
45	5293	109782
46	5412	109755
47	5528	109645
48	5654	109736
49	5789	110002
50	5907	109917
51	6022	109790
52	6140	109711
53	6270	109843
54	6382	109659
55	6494	109476
56	6597	109147
57	6708	108962
58	6824	108837
59	6936	108667
60	7060	108688
61	7164	108390
62	7267	108094
63	7378	107911
64	7494	107804
65	7602	107592
66	7718	107480
67	7852	107627
68	7980	107678
69	8097	107580
70	8208	107406
71	8317	107200
72	8423	106972
73	8532	106777
74	8636	106518
75	8750	106389
76	8858	106185
77	8962	105940
78	9080	105866
79	9188	105669
80	9325	105800
81	9439	105676
82	9547	105483
83	9654	105275
84	9761	105081
85	9889	105102
86	9995	104895
87	10109	104775
88	10216	104579
89	10337	104519
90	10454	104434
91	10575	104378
92	10684	104204
93	10799	104085
94	10916	103995
95	11036	103924
96	11143	103740
97	11254	103587
98	11370	103479
99	11484	103360
100	11596	103224
101	11717	103159
102	11838	103102
103	11974	103163
104	12090	103060
105	12205	102938
106	12318	102805
107	12434	102700
108	12547	102568
109	12662	102449
110	12773	102306
111	12890	102205
112	12995	102009
113	13100	101819
114	13217	101720
115	13337	101643
116	13462	101603
117	13574	101463
118	13683	101305
119	13799	101196
120	13919	101114
121	14040	101046
122	14145	100858
123	14259	100734
124	14382	100676
125	14491	100522
126	14596	100339
127	14726	100326
128	14846	100242
129	14967	100170
130	15085	100071
131	15201	99962
132	15314	99831
133	15420	99658
134	15522	99459
135	15633	99319
136	15738	99143
137	15852	99023
138	15961	98868
139	16070	98718
140	16189	98627
141	16293	98447
142	16410	98346
143	16516	98179
144	16624	98026
145	16740	97921
146	16847	97758
147	16950	97581
148	17067	97478
149	17190	97412
150	17312	97337
151	17445	97325
152	17554	97183
153	17662	97027
154	17767	96861
155	17881	96742
156	17985	96574
157	18101	96465
158	18211	96326
159	18331	96239
160	18440	96096
161	18547	95942
162	18653	95786
163	18764	95652
164	18887	95583
165	19016	95538
166	19124	95392
167	19238	95276
168	19343	95114
169	19455	94987
170	19573	94892
171	19689	94785
172	19796	94635
173	19907	94503
174	20015	94360
175	20119	94195
176	20233	94082
177	20343	93945
178	20451	93802
179	20554	93635
180	20668	93523
181	20792	93450
182	20899	93305
183	21009	93171
184	21124	93063
185	21242	92966
186	21343	92793
187	21444	92621
188	21560	92516
189	21685	92450
190	21797	92324
191	21904	92181
192	22014	92052
193	22133	91954
194	22248	91848
195	22354	91697
196	22460	91553
197	22589	91500
198	22705	91391
199	22811	91246
200	22927	91141
201	23029	90979
202	23138	90845
203	23260	90760
204	23363	90606
205	23465	90445
206	23571	90299
207	23694	90221
208	23803	90087
209	23915	89967
210	24027	89847
211	24133	89702
212	24242	89573
213	24344	89416
214	24470	89345
215	24608	89320
216	24735	89254
217	24855	89160
218	24971	89054
219	25089	88954
220	25197	88817
221	25302	88672
222	25421	88576
223	25530	88446
224	25648	88345
225	25763	88233
226	25868	88090
227	25988	87995
228	26106	87896
229	26226	87802
230	26333	87663
231	26446	87545
232	26546	87388
233	26647	87231
234	26752	87086
235	26866	86974
236	26969	86824
237	27092	86740
238	27214	86654
239	27327	86537
240	27437	86410
241	27558	86320
242	27670	86198
243	27776	86060
244	27880	85918
245	27986	85779
246	28100	85665
247	28211	85545
248	28315	85402
249	28438	85315
250	28563	85234
251	28687	85150
